,time,country,category,peak
537,2021-02-16T19:27:00Z,US,other,0
538,2021-02-16T18:56:00Z,US,live,0
539,2021-02-16T18:21:00Z,US,president speech,1
540,2021-02-16T17:17:00Z,US,live,0
541,2021-02-16T16:00:00Z,US,live,0
542,2021-02-16T15:50:00Z,US,live,0
543,2021-02-16T14:14:00Z,US,live,0
544,2021-02-16T00:50:00Z,US,other,0
545,2021-02-15T21:33:00Z,US,other,0
546,2021-02-15T20:33:00Z,US,live,0
547,2021-02-15T20:00:00Z,US,live,0
548,2021-02-15T19:21:00Z,US,live,0
549,2021-02-15T18:35:00Z,US,other,0
550,2021-02-15T16:30:00Z,US,live,0
551,2021-02-15T00:06:00Z,US,other,0
552,2021-02-14T12:55:00Z,US,other,0
553,2021-02-13T22:14:00Z,US,live,0
554,2021-02-13T14:54:00Z,US,other,0
555,2021-02-12T22:44:00Z,US,other,0
556,2021-02-12T18:32:00Z,US,live,0
557,2021-02-12T18:03:00Z,US,live,1
558,2021-02-12T17:34:00Z,US,president speech,1
559,2021-02-12T17:10:00Z,US,other,0
560,2021-02-12T16:36:00Z,US,live,1
561,2021-02-12T14:47:00Z,US,other,0
562,2021-02-12T01:59:00Z,US,other,0
563,2021-02-11T23:47:00Z,US,other,0
564,2021-02-11T23:30:00Z,US,live,0
565,2021-02-11T21:43:00Z,US,president speech,0
566,2021-02-11T21:22:00Z,US,other,0
567,2021-02-11T19:38:00Z,US,live,0
568,2021-02-11T19:04:00Z,US,live,0
569,2021-02-11T18:31:00Z,US,live,0
570,2021-02-11T17:43:00Z,US,live,1
571,2021-02-11T17:37:00Z,US,live,1
572,2021-02-11T17:30:00Z,US,live,0
573,2021-02-11T16:13:00Z,US,other,0
574,2021-02-11T16:07:00Z,US,live,0
575,2021-02-11T15:31:00Z,US,live,0
576,2021-02-11T15:06:00Z,US,live,0
577,2021-02-11T14:00:00Z,US,live,0
578,2021-02-10T20:17:00Z,US,live,0
579,2021-02-10T20:10:00Z,US,live,0
580,2021-02-10T20:09:00Z,US,other,0
581,2021-02-10T20:04:00Z,US,other,0
582,2021-02-10T19:27:00Z,US,live,0
583,2021-02-10T18:26:00Z,US,live,1
584,2021-02-10T18:22:00Z,US,president speech,1
585,2021-02-10T18:16:00Z,US,other,1
586,2021-02-10T18:06:00Z,US,live,1
587,2021-02-10T17:04:00Z,US,live,0
588,2021-02-10T16:52:00Z,US,live,1
589,2021-02-10T16:46:00Z,US,live,1
590,2021-02-10T16:37:00Z,US,live,1
591,2021-02-10T16:11:00Z,US,other,0
592,2021-02-10T16:04:00Z,US,live,0
593,2021-02-10T15:50:00Z,US,live,0
594,2021-02-10T15:00:00Z,US,live,0
